GiniIncomeClass,GiniSendClass,GiniIncomeValue,GiniSendValue,totNumTransaction,inNumTransaction,outNumTransaction,paying,paid,numberAddressesPaidAfterTheyPaid,lifeAddress,activityDay,frequentUse,moreTransaction,inPerCent,mediaIncomeV,mediaSendV,devStandardIncomeV,devStandardSendV,varianzaSendV,varianzaIncomeV,totalSendBTC,totalIncomeBTC,totalSendUSD,totalIncomeUSD,maxNumTransRec,maxDiffDay,minResponsiveness,avgResponsiveness,maxResponsiveness,rangoCluster,type
96.71,91.84,57.09,46.20,82,68,14,42,17,1,99,70,FALSO,FALSO,82.93,150493360.00,730967680.00,173734550.47,756903033.96,572902217000000000.00,909852470000000000.00,10233547112,10233547112,701.70,455.72,5,2854000000,2153.00,55603.00,230725.00,11,N
99.21,98.64,58.83,65.06,686,555,131,268,94,3,1017,879,FALSO,VERO,80.90,186720864.00,791069440.00,436419131.20,1723576466.77,2970716320000000000.00,3335953460000000000.00,103630081734,103630081734,16946.46,6652.32,6,9900400000,0.00,183628.00,13469060.00,76,N
97.15,97.84,70.94,38.06,330,280,50,257,45,3,122,71,FALSO,VERO,84.85,176917824.00,990739900.00,286765939.48,827340974.43,684492990000000000.00,1346799760000000000.00,49537000000,49537000000,1044.94,754.28,24,5000000000,197.00,31634.00,1013817.00,10,N
18.17,55.03,5.79,23.30,4084,2363,1721,296,1745,11,548,127,VERO,VERO,57.86,19332944.00,26408870.00,11927156.87,19533047.26,381532682000000.00,431603344000000.00,45449491324,45683568524,3431.92,3392.14,173,480000000,0.00,1625.00,243486.00,36,N
94.14,80.00,56.46,26.73,28,23,5,23,6,0,57,55,FALSO,FALSO,82.14,57739132.00,261600000.00,74629645.28,126841002.83,16088638300000000.00,57647897000000000.00,1308000000,1328000000,196.85,258.41,2,389000000,0.00,12358.00,27555.00,2,N
99.24,98.72,36.87,51.50,217,135,82,135,60,10,88,73,FALSO,VERO,62.21,1065505790.00,1754186110.00,725292675.14,2710619968.37,7347460600000000000.00,7821744300000000000.00,143843254043,143843254043,23752.31,21860.43,4,20705385317,0.00,7819.00,82558.00,44,N
98.52,98.99,89.46,87.28,23219,17096,6123,14576,6430,151,1532,1299,VERO,VERO,73.63,438404064.00,1224026620.00,5342106796.51,9266963197.41,85877090000000000000.00,86492335000000000000.00,7494660032067,7494684593418,551261.38,459488.73,920,846632000000,0.00,2600.00,740165.00,602,N
96.86,97.15,9.78,33.26,192,155,37,155,32,0,148,124,FALSO,VERO,80.73,118728984.00,497378112.00,30073399.80,315382258.14,99465971000000000.00,242841162000000000.00,18402992707,18402992707,1976.90,2142.27,4,1469000000,681.00,43873.00,163470.00,7,N
98.22,88.89,65.42,71.58,88,79,9,79,12,0,2240,2239,FALSO,FALSO,89.77,2360031490.00,20715829200.00,6413188478.60,32298932753.37,1043221100000000000000.00,1380156300000000000000.00,186442466241,186442466241,553680.15,130788.11,4,117508476241,1273.00,4380593.00,13135197.00,12,N
99.20,98.24,83.29,74.52,326,256,70,245,107,4,2263,2198,FALSO,VERO,78.53,1291141380.00,4721889300.00,4488343597.82,9370993539.89,87815500000000000000.00,99585530000000000000.00,330532206049,330532213049,49950.86,27866.17,8,65640496049,0.00,2010098.00,86342951.00,10,N
96.12,94.21,38.15,61.75,68,46,22,36,23,0,35,19,FALSO,FALSO,67.65,143326048.00,299681792.00,188630996.53,623678108.16,388974366000000000.00,413421560000000000.00,6593000000,6593000000,577.25,476.24,4,2853000000,304.00,26603.00,97187.00,3,N
59.81,87.50,51.94,49.07,113,105,8,92,9,1,1737,1736,FALSO,VERO,92.92,1835572.80,24091890.00,4839380.80,21700538.17,470913334000000.00,966257110000000.00,192735128,192735128,421.79,241.42,10,50000000,0.00,21741146.00,84871181.00,7,N
91.20,90.67,57.75,40.84,40,25,15,25,17,1,24,22,FALSO,FALSO,62.50,20840000.00,34733332.00,25005087.48,25978110.44,674862240000000.00,867886930000000.00,521000000,521000000,5.67,5.23,6,92000000,825.00,47079.00,125154.00,5,N
97.58,97.44,65.40,63.32,92,51,41,51,78,4,49,15,FALSO,FALSO,55.43,4812451300.00,5986218500.00,7027420949.94,7742778245.69,59950610000000000000.00,61328344000000000000.00,245435000000,245435000000,9894.38,8147.86,8,13702000000,0.00,28286.00,260734.00,9,N
88.54,95.45,67.44,68.63,115,93,22,61,31,3,940,871,FALSO,VERO,80.87,274361568.00,1159801340.00,469646978.88,1905668553.22,3631572560000000000.00,4415576850000000000.00,25515629066,25515629066,18946.35,7007.44,5,8700000000,0.00,180297.00,2655558.00,13,N
99.09,97.93,87.52,83.64,415,363,52,165,80,1,1479,1290,FALSO,VERO,87.47,34831600.00,243151168.00,217766962.77,605999069.73,367234753000000000.00,410631893000000000.00,12643860839,12643860839,16254.43,7114.31,7,5899773432,0.00,461778.00,9682088.00,27,N
73.70,94.20,44.01,47.78,122,87,35,59,36,9,917,15,FALSO,VERO,71.31,17420920.00,43302868.00,24646996.82,42451712.68,1802147880000000.00,2472022110000000.00,1515600000,1515619600,163.33,166.40,31,349000000,0.00,6197.00,56380.00,27,N
96.97,95.99,34.87,31.99,133,94,39,94,52,0,127,88,FALSO,VERO,70.68,86861704.00,209358976.00,62446335.50,128200461.45,16435354900000000.00,31440936600000000.00,8165000000,8165000000,1121.79,1065.03,3,449000000,94.00,13709.00,171353.00,21,N
96.81,94.79,28.68,23.19,62,38,24,29,25,0,48,16,FALSO,FALSO,61.29,167763152.00,265625008.00,85896337.22,137536905.24,18916401800000000.00,28493343500000000.00,6375000000,6375000000,519.60,497.52,3,610000000,275.00,15521.00,100263.00,5,N
98.79,99.21,87.13,86.54,41190,31336,9854,28157,9518,239,2532,2445,VERO,VERO,76.08,330464384.00,1050844930.00,4114670228.66,7972956353.62,63566750000000000000.00,64085066000000000000.00,10354982127709,10355062255289,915864.10,734786.26,678,914396000000,0.00,2057.00,2180907.00,1682,N
97.46,80.00,63.88,50.21,94,89,5,88,5,0,18,16,FALSO,FALSO,94.68,69426952.00,1235799940.00,158984487.38,1334973518.22,1782154420000000000.00,3142580430000000000.00,6179000000,6179000000,1435.54,946.86,13,3400000000,0.00,18567.00,44570.00,4,N
95.25,88.89,25.13,47.66,49,40,9,24,9,0,188,165,FALSO,FALSO,81.63,371624896.00,1651666560.00,177895712.08,1459216332.88,2129312290000000000.00,3767819090000000000.00,14865000000,14865000000,719.94,348.26,4,4032000000,2098.00,523674.00,3777063.00,6,N
97.54,96.25,47.53,62.99,130,89,41,89,62,0,40,30,FALSO,VERO,68.46,75786512.00,164512176.00,100302070.18,239198466.21,57215905000000000.00,65088163000000000.00,6745000000,6745000000,678.73,693.26,7,842000000,349.00,16535.00,74102.00,11,N
96.72,90.00,55.43,28.34,70,60,10,45,17,0,1818,1818,FALSO,FALSO,85.71,32907128.00,197342560.00,44636555.37,100257688.35,10051604300000000.00,37090616000000000.00,1973425792,1974427820,1348.91,299.52,6,701117252,1588.00,230059.00,1001051.00,7,N
98.75,90.28,64.15,78.44,96,84,12,81,14,1,2241,2235,FALSO,FALSO,87.50,44755448.00,185021872.00,55407264.81,389140738.43,151430514000000000.00,171105192000000000.00,2220262630,3759458111,3340.55,471.03,8,1349000000,1865.00,2724831.00,7382919.00,10,N
99.10,91.97,69.55,64.98,257,238,19,168,24,0,1259,1059,FALSO,VERO,92.61,347654624.00,4354830300.00,1246535880.10,5702797440.98,32521900000000000000.00,48579357000000000000.00,82741779065,82741780065,105585.83,20237.31,7,17752000000,7828.00,646547.00,4031535.00,11,N
98.92,84.73,58.51,61.45,202,134,68,57,23,0,251,231,FALSO,VERO,66.34,173233328.00,336870208.00,423139953.51,636957283.99,405714705000000000.00,432491696000000000.00,22907182085,23213258880,2396.11,2662.09,5,3700000000,0.00,66144.00,313212.00,50,N
96.86,98.30,83.34,81.04,11791,7377,4414,5874,4304,29,2489,2146,VERO,VERO,62.56,230653952.00,385469888.00,1456535234.30,2275278193.27,5176962000000000000.00,5200761500000000000.00,1701446062665,1701499615332,104266.12,92384.95,206,120740862724,0.00,11835.00,17617842.00,192,N
97.30,93.63,49.44,48.27,56,37,19,37,19,0,89,89,FALSO,FALSO,66.07,308541984.00,577263170.00,309569798.23,646939037.26,418530098000000000.00,490741211000000000.00,10968000000,11416054015,1643.80,1765.03,3,921000000,872.00,26000.00,262606.00,22,N
99.32,81.25,93.26,100.00,824,737,87,732,35,2,695,674,FALSO,VERO,89.44,16857360.00,142802880.00,140307973.72,897549322.76,805594990000000000.00,821457090000000000.00,12423849828,12423849828,1367.39,1426.53,10,3101575905,0.00,74738.00,916622.00,11,N
98.35,94.78,70.84,47.94,115,94,21,92,25,0,1274,850,FALSO,VERO,81.74,308733312.00,1381901440.00,550786461.72,1210812178.27,1466065850000000000.00,2617755490000000000.00,29019930113,29020932190,6097.82,2420.98,6,4400000000,0.00,1746589.00,20376525.00,14,N
79.44,84.38,50.06,60.53,60,52,8,29,7,0,690,689,FALSO,FALSO,86.67,4048950.20,26318174.00,4135159.73,31351222.79,982899170000000.00,1478817640000000.00,210545403,210545403,77.79,30.89,9,100250000,4419.00,14258006.00,56913171.00,8,N
96.77,75.00,56.56,24.62,35,31,4,31,4,0,26,26,FALSO,FALSO,88.57,24817032.00,177049376.00,38535240.04,82571797.92,6818101700000000.00,29992789600000000.00,708197483,769327972,97.90,77.39,5,284900573,8511.00,86902.00,181568.00,5,N
92.28,94.52,85.82,67.21,235,166,69,162,103,19,2363,1683,FALSO,VERO,70.64,437207104.00,1051833220.00,1524408241.95,2226365589.03,4956703400000000000.00,5334468100000000000.00,72576500000,72576500006,1133.72,435.14,38,9502000000,0.00,2590647.00,124945343.00,14,N
98.70,95.00,55.28,47.61,99,79,20,79,20,0,91,48,FALSO,FALSO,79.80,153979888.00,608220670.00,202592731.50,861021407.57,741357810000000000.00,947692570000000000.00,12164413319,12164413319,2139.21,1708.48,8,3977300561,403.00,21248.00,80088.00,3,N
99.15,87.50,49.70,62.83,316,308,8,145,7,1,1158,1158,FALSO,VERO,97.47,74187248.00,2619697410.00,71691816.48,3471027158.32,12048031000000000000.00,18527653000000000000.00,20957577606,22849684176,25417.84,2860.17,7,10902000000,15080.00,5986808.00,28996406.00,6,N
79.00,73.47,18.48,67.69,48,41,7,16,9,0,995,962,FALSO,FALSO,85.42,77778048.00,410307360.00,28374822.36,668355810.12,446699414000000000.00,557275271000000000.00,2872152105,3188901230,2662.38,146.89,1,2018000000,3787.00,4853800.00,31893914.00,2,N
98.76,94.10,75.61,64.36,209,185,24,50,12,0,1371,1347,FALSO,VERO,88.52,31378694.00,230397504.00,108464228.12,346558106.74,120102516000000000.00,159710987000000000.00,5529539196,5805058703,9555.15,8663.84,4,1200000000,105.00,576143.00,8249498.00,15,N
92.66,50.00,71.00,3.60,145,143,2,75,1,0,185,180,FALSO,VERO,98.62,51272692.00,3250824700.00,227463170.83,233824896.00,54674083000000000.00,10291808000000000000.00,6501649819,7332001082,310.29,810.11,10,6501649819,76841.00,76841.00,76841.00,5,N
93.27,94.52,63.91,57.66,159,136,23,106,26,0,448,446,FALSO,VERO,85.53,84812880.00,501502400.00,148086264.70,892611976.35,796756080000000000.00,970386220000000000.00,11534555313,11534555313,959.51,594.79,12,4508000000,569.00,140686.00,496203.00,18,N
78.17,98.49,58.04,65.30,872,686,186,505,224,1,1389,1157,FALSO,VERO,78.67,190278784.00,701781180.00,783044862.26,1616047703.84,2611610600000000000.00,2873245980000000000.00,130531356332,130531356332,45112.25,43188.69,4,16900000000,0.00,89417.00,3026263.00,29,N
97.76,98.55,93.53,92.90,12450,7921,4529,6296,4551,39,1383,788,VERO,VERO,63.62,618657660.00,1081988990.00,7356318236.27,10149731001.38,103014580000000000000.00,103232580000000000000.00,4900282907856,4900282908856,240415.27,155304.39,255,845319000000,0.00,10662.00,14933126.00,152,N
95.38,97.28,80.72,78.45,8283,5076,3207,3774,3373,13,1479,737,VERO,VERO,61.28,205043120.00,324538944.00,979245142.54,1338339795.48,1791175910000000000.00,1805445230000000000.00,1040793929500,1040795753900,98563.47,87777.94,161,69297000000,0.00,4676.00,1657881.00,72,N
99.95,97.69,92.48,76.65,2118,2071,47,1549,71,0,2170,2004,FALSO,VERO,97.78,17626798.00,776704260.00,157224895.81,1872870406.72,3507643850000000000.00,4083841820000000000.00,36505098097,36505098097,43487.68,15809.79,21,6108170098,4374.00,1734816.00,11819808.00,14,N
91.43,96.16,94.59,92.09,146,103,43,93,48,6,1264,1081,FALSO,VERO,70.55,12076684300.00,28927866900.00,66539777368.10,112219579318.63,12593231000000000000000.00,12877192000000000000000.00,1243898352296,1243898352296,131336.67,86371.98,6,645621000000,0.00,1744397.00,57906786.00,23,N
95.11,96.19,67.14,64.56,372,307,65,251,77,5,2334,2331,FALSO,VERO,82.53,580162110.00,2740152320.00,1179362160.26,4406764550.52,19419577000000000000.00,24085123000000000000.00,178109918047,178109918047,84748.04,24947.65,7,22947000000,0.00,425711.00,5907744.00,51,N
99.75,99.06,63.49,65.12,1029,868,161,836,118,3,790,550,FALSO,VERO,84.35,85544552.00,461196832.00,136979088.41,660564605.32,436345691000000000.00,577459930000000000.00,74252693096,74252693096,6767.51,6752.20,20,3760996559,0.00,55961.00,323455.00,51,N
98.62,99.09,74.62,74.63,20325,13638,6687,11735,6525,79,1376,650,VERO,VERO,67.10,144749776.00,295211424.00,553743016.34,919041147.95,844654110000000000.00,867277800000000000.00,1974058681253,1974058682253,203767.80,179327.62,328,80999000000,0.00,11115.00,26579941.00,468,N
99.74,98.75,87.33,81.03,899,766,133,661,179,22,1867,1581,FALSO,VERO,85.21,229321888.00,1320755970.00,1877413490.54,4472075775.62,19999460000000000000.00,21190683000000000000.00,175660529834,175660590650,76224.82,32092.30,10,20012000000,0.00,318954.00,21002758.00,95,N
93.67,88.00,50.72,57.88,53,43,10,12,9,0,35,31,FALSO,FALSO,81.13,189907008.00,816599940.00,312456941.33,994317446.34,988666970000000000.00,1381411290000000000.00,8166000000,8166000000,1369.74,1396.50,3,2799000000,474.00,12777.00,40051.00,7,N
93.67,94.24,94.04,93.29,1464,890,574,845,647,78,2603,2203,VERO,VERO,60.79,2334619900.00,3619785980.00,15494146413.32,20358338844.40,414461950000000000000.00,416112440000000000000.00,2077753398328,2077805949995,7391.20,4650.80,71,335770000000,0.00,140456.00,34288395.00,26,N
63.89,79.34,75.76,64.83,34,23,11,23,16,0,74,21,FALSO,FALSO,67.65,28130434.00,58818180.00,57057793.17,77250265.45,5967603100000000.00,6909341299999999.00,647000000,647000000,99.01,99.61,7,201000000,0.00,29035.00,97031.00,7,N
98.16,95.53,72.38,66.93,110,79,31,68,41,0,128,96,FALSO,VERO,71.82,310520352.00,791326270.00,1193328313.02,1758044345.71,3090720040000000000.00,3321894280000000000.00,24531113261,24531113261,2282.39,2311.97,6,2487000000,159.00,25276.00,201922.00,11,N
99.67,98.08,68.59,58.26,443,384,59,376,87,7,2179,2176,FALSO,VERO,86.68,103218968.00,671797380.00,207956544.28,884416525.21,782192850000000000.00,1105474210000000000.00,39636046126,39636071143,10448.97,3506.49,7,5601350000,0.00,650971.00,15266113.00,45,N
79.50,86.42,20.07,46.98,130,121,9,69,7,1,690,690,FALSO,VERO,93.08,10781951.00,143846240.00,9008997.68,139815763.95,19548449200000000.00,37254551000000000.00,1294616067,1304616067,1977.79,148.32,3,705117856,849.00,290631.00,866071.00,8,N
96.71,97.84,89.16,88.36,11859,7542,4317,6259,4347,35,2465,2271,VERO,VERO,63.60,190216128.00,332310624.00,6836394434.29,9042107507.97,81759510000000000000.00,81780130000000000000.00,1434566188651,1434574211653,128180.53,71224.69,244,586484000000,0.00,5629.00,2144107.00,181,N
96.09,93.20,43.56,54.70,83,57,26,57,33,6,2228,2228,FALSO,FALSO,68.67,698927620.00,1532228740.00,702389384.98,2489368390.19,6196953600000000000.00,6891346400000000000.00,39837944441,39838888884,3069.47,1438.99,2,13632000000,0.00,266908.00,2473351.00,24,N
96.24,97.36,92.36,92.26,7843,4908,2935,3987,2683,48,1362,544,VERO,VERO,62.58,977959940.00,1635358460.00,13756329194.85,18779926560.22,352688500000000000000.00,353114200000000000000.00,4799750827310,4799750828310,97098.08,77096.86,151,646734000000,0.00,14756.00,13145235.00,78,N
99.07,77.78,59.79,31.02,154,148,6,139,3,1,949,948,FALSO,VERO,96.10,14814384.00,365421472.00,31156210.62,213547758.20,45602644000000000.00,168527988000000000.00,2192529010,2192529010,17266.35,93.46,16,1735529010,1671.00,26410605.00,79212604.00,6,N
98.27,98.85,91.97,91.41,15572,10472,5100,8619,5233,39,1531,1223,VERO,VERO,67.25,479252544.00,984048060.00,6404224951.63,9569233037.62,91570935000000000000.00,91823500000000000000.00,5018611583589,5018615905820,276531.12,185772.28,255,867589000000,0.00,3888.00,3232355.00,223,N
97.31,0.00,74.86,0.00,71,70,1,53,2,1,1488,1488,FALSO,FALSO,98.59,22680886.00,11091471.00,40242770.27,0.00,0.00,134314541000000.00,11091471,1587661852,0.00,561.04,2,10067217,118553.00,118553.00,118553.00,1,N
96.36,80.00,24.41,63.36,36,31,5,16,6,0,935,934,FALSO,FALSO,86.11,76218288.00,472553376.00,41578528.11,604944166.31,365957430000000000.00,523038953000000000.00,2362766698,2362766698,7684.67,246.61,2,1624710000,78083.00,993469.00,1910831.00,6,N
98.74,96.14,63.92,70.73,1051,987,64,915,49,0,1227,1226,FALSO,VERO,93.91,57414880.00,885446140.00,162295135.97,1731374935.99,2997658470000000000.00,3683296610000000000.00,56668587512,56668587512,26907.15,6092.78,3,11003000000,494.00,151770.00,3125962.00,35,N
94.11,96.00,94.26,93.86,6712,4164,2548,3566,2439,26,2489,2159,VERO,VERO,62.04,1220337150.00,1994260480.00,16825670981.44,24428966491.48,596786300000000000000.00,597358200000000000000.00,5081339473742,5081392026409,1561704.20,62542.32,130,1406600000000,0.00,34001.00,34288395.00,54,N
98.47,99.05,90.49,89.61,29405,21561,7844,18830,7823,193,2499,2388,VERO,VERO,73.32,397561760.00,1092745220.00,6244610518.87,10610348298.33,112580630000000000000.00,113060400000000000000.00,8571431794880,8571502453747,604572.67,468494.27,906,817312000000,0.00,2203.00,1207174.00,894,N
98.98,81.63,30.87,70.95,234,227,7,223,5,0,884,884,FALSO,VERO,97.01,129581080.00,4201400830.00,115130049.71,6647736477.01,44192403000000000000.00,60772114000000000000.00,29409806684,29414906684,16163.31,2356.79,5,23908806594,9526.00,2205653.00,6289575.00,14,N
99.49,97.44,72.43,80.17,506,467,39,416,55,2,1831,1814,FALSO,VERO,92.29,51587828.00,617731140.00,154588513.45,1354721899.20,1835271690000000000.00,2155790050000000000.00,24091513138,24091513138,5566.32,3037.89,5,6868976961,0.00,1756136.00,29004315.00,30,N
99.87,98.25,91.95,86.88,1696,1573,123,1512,134,8,2386,2386,FALSO,VERO,92.75,477586304.00,6107663400.00,2566435123.61,36143464997.22,1306350000000000000000.00,1338047900000000000000.00,751242674742,751242674756,3973706.82,163938.42,8,401456490570,0.00,315772.00,7866915.00,80,N
98.09,92.86,47.48,74.52,126,112,14,111,14,1,374,374,FALSO,VERO,88.89,166712944.00,1315632130.00,142320794.27,2248060098.85,5053773800000000000.00,6373789700000000000.00,18418850000,18671850000,2116.82,653.22,6,5992700000,14825.00,294680.00,1979108.00,16,N
99.58,98.41,66.35,58.33,1144,1007,137,830,164,2,1102,778,FALSO,VERO,88.02,279846432.00,2056971010.00,577130042.45,2739352352.84,7504052500000000000.00,10662226000000000000.00,281805095139,281805095139,25297.33,14982.83,9,19308301653,0.00,145657.00,9366713.00,83,N
96.79,96.15,71.17,60.58,74,48,26,45,33,1,435,244,FALSO,FALSO,64.86,593867200.00,1096370300.00,1104561854.14,1412515280.35,1995199500000000000.00,2247708670000000000.00,28505630454,28505630454,1586.46,1483.42,5,9213137500,0.00,537419.00,5637303.00,17,N
86.17,80.00,11.72,69.54,57,52,5,11,6,0,69,68,FALSO,FALSO,91.23,92115384.00,958000000.00,28124485.53,1507932813.48,2273861240000000000.00,3023617670000000000.00,4790000000,4790000000,644.02,763.21,3,3953000000,1383.00,85475.00,229094.00,4,N
99.68,97.98,50.88,74.58,1123,1057,66,419,77,1,1763,1241,FALSO,VERO,94.12,176416592.00,2825338370.00,754498755.17,6656405357.84,44307750000000000000.00,51324525000000000000.00,186472381702,186472381702,37231.01,19172.39,6,36166092959,366.00,457025.00,17972517.00,31,N
98.74,99.14,90.12,93.06,28573,18948,9625,13242,9899,497,2490,1768,VERO,VERO,66.31,254519776.00,501060864.00,2088458593.24,4522175204.63,20450635000000000000.00,20511759000000000000.00,4822795319144,4822795319145,1179758.37,1012621.24,108,153008037630,0.00,4525.00,611298.00,349,N
99.39,99.05,47.71,41.95,552,424,128,167,127,1,329,232,FALSO,VERO,76.81,556836220.00,1844493820.00,560928485.38,1605666887.83,2578166480000000000.00,4236229190000000000.00,236095243427,236098361553,10498.38,10403.32,9,12753000000,0.00,24275.00,230896.00,23,N
98.83,99.21,78.25,78.11,24525,17227,7298,14712,7315,72,1659,880,VERO,VERO,70.24,194784544.00,459783296.00,1278825878.65,2495015577.83,6225203900000000000.00,6295221900000000000.00,3355486207615,3355494356263,357000.88,316519.75,467,162996476838,0.00,2465.00,3188219.00,506,N
94.08,77.78,44.09,30.34,272,260,12,214,4,1,666,665,FALSO,VERO,95.59,185826096.00,4026236670.00,361921151.38,2357374023.94,5557212100000000000.00,20305963000000000000.00,48314841526,48314841526,14048.43,4918.34,5,35995841526,36290.00,104379.00,233095.00,12,N
96.13,97.12,81.17,67.58,304,253,51,226,61,6,1806,1800,FALSO,VERO,83.22,80454384.00,399116640.00,235662137.22,677268793.57,458693024000000000.00,560238695000000000.00,20354947572,20354957573,5956.15,1959.11,11,3222596424,0.00,835126.00,14210421.00,39,N
95.08,94.32,80.75,81.41,105,67,38,58,47,1,234,151,FALSO,VERO,63.81,85457134000.00,150674391000.00,173696127907.64,297310040071.50,88393280000000000000000.00,92646570000000000000000.00,5725626000000,5725626000000,5175.92,4806.18,6,727332000000,0.00,150837.00,865896.00,16,N
96.42,97.22,63.85,62.26,939,844,95,658,96,5,1290,1225,FALSO,VERO,89.88,81735040.00,726151810.00,449853116.67,1337441194.22,1788749010000000000.00,2204022460000000000.00,68984439585,68984439585,15197.33,10653.45,7,4950000000,697.00,57507.00,822781.00,72,N
95.04,89.26,46.27,49.34,77,66,11,66,12,0,587,459,FALSO,FALSO,85.71,15863636.00,95181816.00,17754971.17,87011824.29,7571057200000000.00,13862432100000000.00,1047000000,1047000000,120.42,98.36,3,291000000,0.00,240388.00,1068738.00,6,N
93.35,92.68,76.74,77.49,403,303,100,290,81,13,2120,1815,FALSO,VERO,75.19,10269192.00,31115664.00,28842739.79,55947395.54,3130111230000000.00,3564686220000000.00,3111566995,3111566995,195.14,121.26,13,231000000,0.00,1385457.00,70737807.00,45,N
91.46,50.00,97.07,43.14,51,49,2,25,2,0,2256,2256,FALSO,FALSO,96.08,45803.67,1093000.00,283290.63,943000.00,889249010000.00,1985869250000.00,2186000,2244380,62.82,0.49,11,2036000,2162.00,66505192.00,133008223.00,1,N
98.49,98.98,91.74,90.59,35925,27369,8556,24449,8547,276,2614,2510,VERO,VERO,76.18,433241184.00,1385816190.00,6574688611.46,12555240944.09,157631020000000000000.00,158538370000000000000.00,11856982392983,11857081102411,882896.39,625527.83,999,843311000000,0.00,2906.00,2144107.00,1155,N
98.92,91.97,38.35,51.23,329,310,19,131,19,1,618,617,FALSO,VERO,94.22,101990192.00,1664049790.00,302244405.00,1849624198.87,3421109540000000000.00,5861139700000000000.00,31616948102,31616948102,2509.29,2574.62,5,5000700000,5152.00,169277.00,1108711.00,18,N
97.42,94.74,52.85,42.37,129,110,19,109,19,1,108,92,FALSO,VERO,85.27,65837376.00,381163680.00,105547873.37,374967121.27,140600350000000000.00,240031033000000000.00,7242110000,7242110000,1083.40,967.52,3,1759890000,318.00,28185.00,109188.00,18,N
92.51,96.22,27.20,71.04,413,367,46,203,55,9,2285,2285,FALSO,VERO,88.86,14577958.00,96680640.00,8580455.08,152522705.18,23263175000000000.00,30004023100000000.00,4447309062,5350123851,23315.72,1534.69,17,1600000000,119337.00,8735558.00,50711053.00,23,N
44.68,80.00,25.31,32.24,77,72,5,64,2,0,45,41,FALSO,FALSO,93.51,7069444.50,93800000.00,5947283.27,57752575.70,3335359930000000.00,10857548500000000.00,469000000,509000000,4.11,4.47,10,125000000,690.00,10308.00,24900.00,6,N
98.50,99.01,89.36,88.18,26029,19123,6906,16598,7076,115,1532,1251,VERO,VERO,73.47,341440928.00,945431100.00,4777801900.33,8366820401.76,70004910000000000000.00,70367763000000000000.00,6529084987518,6529098559431,469506.75,375909.00,492,847477000000,0.00,2632.00,1621060.00,660,N
97.27,92.44,46.73,76.55,557,542,15,491,15,1,711,707,FALSO,VERO,97.31,46071704.00,1664725380.00,170877493.21,4010019548.19,16080256000000000000.00,18700296000000000000.00,24970882170,24970882170,5066.02,2064.01,7,16478400000,543.00,985367.00,8369150.00,22,N
97.48,98.57,73.75,78.85,4205,2588,1617,1714,1866,137,1569,1416,VERO,VERO,61.55,150631488.00,240962544.00,532754915.96,878634076.06,771995770000000000.00,780155860000000000.00,389635644714,389831820092,34716.65,23337.41,83,18833000000,0.00,9786.00,161856.00,288,N
96.09,50.00,23.27,49.21,34,32,2,32,2,0,707,679,FALSO,FALSO,94.12,68260352.00,1092165500.00,27863830.14,1074851264.00,1155305250000000000.00,2203686830000000000.00,2184330993,2184330993,2542.12,294.22,2,2167016800,171219.00,14946342.00,29721465.00,2,N
99.65,94.21,76.08,70.21,327,305,22,291,20,0,1689,1145,FALSO,VERO,93.27,62588236.00,867700290.00,126337409.23,1360504854.18,1850973400000000000.00,2499178660000000000.00,19089407467,19089407467,2288.47,670.38,10,14913720338,7470.00,2463779.00,28279751.00,16,N
93.28,94.98,77.74,53.28,336,302,34,222,43,1,1990,1990,FALSO,VERO,89.88,21742542.00,60827724.00,39020881.42,66067054.13,4364855540000000.00,5892506700000000.00,2068142358,6566242358,634.05,69.10,7,545900000,884.00,902656.00,7730697.00,25,N
97.32,85.71,92.70,80.20,48,41,7,36,11,0,2526,2472,FALSO,FALSO,85.42,1636597120.00,9585726500.00,5973016703.47,20065897882.21,402640280000000000000.00,465828880000000000000.00,67100081591,67100478313,898.98,4294.79,3,58544067253,0.00,1306287.00,3358336.00,7,N
97.70,92.00,58.92,52.21,85,65,20,64,15,0,994,726,FALSO,FALSO,76.47,44113644.00,143369344.00,59416927.70,139774821.97,19537003100000000.00,29388696000000000.00,2867386711,2867386711,2613.74,1311.21,3,500000000,1121.00,2646222.00,47742918.00,7,N
99.21,99.55,67.15,67.35,8307,5370,2937,3715,3398,8,1303,1033,VERO,VERO,64.64,125998584.00,230374368.00,508750762.73,1010661600.97,1021435510000000000.00,1032333120000000000.00,676607367086,676608368086,91333.36,89509.36,133,12554251485,0.00,30308.00,36579654.00,168,N
92.77,0.00,31.37,0.00,33,32,1,32,0,0,92,92,FALSO,FALSO,96.97,15476465.00,0.00,8585005.37,0.00,0.00,239520964000000.00,0,495246890,0.00,5.02,6,0,9223372036854780000.00,0.00,-9223372036854780000.00,1,N
86.68,93.75,47.57,41.94,84,68,16,68,8,0,683,670,FALSO,FALSO,80.95,51380228.00,218309776.00,83906189.63,177324592.65,31444009600000000.00,59309495000000000.00,3492956668,3493856668,914.59,536.44,2,699000000,0.00,3372355.00,50109845.00,8,N
99.12,99.20,87.17,89.38,1941,1146,795,590,574,18,408,282,VERO,VERO,59.04,1845659390.00,2660532990.00,6786966080.85,13227867466.55,174976580000000000000.00,175640490000000000000.00,2115124000000,2115124000000,48547.53,21401.02,111,199744000000,0.00,7261.00,303117.00,66,N
